n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.490e+04	2.440e-01	1.914e-02	2.980e-01	5.837e-01	2.156e-01	7.745e-01	4.500e-01	-1.147e-02	6.000e-01
1.500e+04	1.964e-01	1.290e-01	3.406e-01	4.858e-01	1.174e-01	8.226e-01	3.216e-01	-1.000e-01	5.501e-01
1.510e+04	1.803e-01	-6.091e-02	2.763e-01	4.247e-01	8.375e-02	7.460e-01	2.737e-01	-1.856e-01	5.698e-01
1.520e+04	2.242e-01	1.151e-01	2.984e-01	5.900e-01	2.137e-01	7.838e-01	4.090e-01	-1.305e-01	6.000e-01
1.530e+04	2.123e-01	4.706e-02	3.089e-01	4.431e-01	2.027e-01	9.148e-01	4.090e-01	-2.000e-01	6.000e-01
1.540e+04	2.273e-01	1.189e-01	3.029e-01	4.000e-01	8.171e-02	7.134e-01	3.180e-01	-1.452e-01	6.000e-01
1.550e+04	2.151e-01	3.968e-02	3.101e-01	5.827e-01	7.520e-02	8.718e-01	4.090e-01	-1.147e-02	6.000e-01
1.560e+04	2.349e-01	9.721e-02	2.940e-01	5.001e-01	6.014e-02	8.165e-01	3.500e-01	-1.147e-02	6.000e-01
1.570e+04	1.986e-01	-5.433e-02	3.470e-01	6.026e-01	1.925e-01	8.941e-01	2.745e-01	-1.147e-02	6.000e-01
1.580e+04	1.790e-01	1.122e-01	2.403e-01	4.000e-01	1.784e-01	7.873e-01	2.849e-01	-1.147e-02	5.000e-01
1.590e+04	2.365e-01	1.059e-01	3.180e-01	3.832e-01	5.632e-04	8.193e-01	4.040e-01	-2.000e-01	6.000e-01
1.600e+04	2.387e-01	-5.134e-02	3.098e-01	5.073e-01	1.924e-01	8.272e-01	3.899e-01	-9.655e-03	6.000e-01
1.610e+04	2.508e-01	8.543e-02	2.949e-01	4.218e-01	1.959e-01	7.018e-01	4.090e-01	-1.147e-02	5.986e-01
1.620e+04	1.956e-01	6.761e-02	2.760e-01	6.199e-01	-8.733e-02	8.585e-01	1.923e-01	-1.147e-02	6.000e-01
1.630e+04	1.406e-01	-6.319e-02	2.890e-01	4.000e-01	1.690e-01	7.774e-01	3.802e-01	-2.436e-02	6.000e-01
1.640e+04	2.286e-01	1.361e-01	2.997e-01	4.000e-01	1.883e-04	7.924e-01	4.090e-01	-1.455e-02	5.989e-01
1.650e+04	2.138e-01	1.078e-01	2.753e-01	4.000e-01	1.064e-01	8.855e-01	3.168e-01	-2.210e-03	6.000e-01
1.660e+04	2.202e-01	3.773e-02	3.000e-01	6.349e-01	2.291e-01	7.834e-01	3.516e-01	-1.147e-02	5.421e-01
1.670e+04	1.853e-01	2.050e-02	2.751e-01	6.001e-01	1.463e-01	9.278e-01	4.090e-01	-1.147e-02	6.000e-01
