n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.430e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.714e-01	1.725e-01	9.111e-02	2.665e-01
1.440e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.755e-01	3.714e-01	2.002e-01	9.111e-02	2.665e-01
1.450e+04	8.942e-02	4.744e-02	2.042e-01	2.288e-01	1.697e-01	3.544e-01	2.002e-01	9.111e-02	2.665e-01
1.460e+04	8.942e-02	4.744e-02	2.042e-01	2.281e-01	1.697e-01	3.418e-01	1.725e-01	9.111e-02	2.665e-01
1.470e+04	8.942e-02	4.744e-02	2.042e-01	2.281e-01	1.697e-01	3.418e-01	1.725e-01	9.111e-02	2.665e-01
1.480e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.965e-01
1.490e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.500e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.510e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.520e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.530e+04	8.942e-02	4.744e-02	2.209e-01	2.281e-01	1.755e-01	3.418e-01	2.031e-01	9.432e-02	2.965e-01
1.540e+04	8.942e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.031e-01	9.432e-02	2.882e-01
1.550e+04	8.942e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.031e-01	9.432e-02	2.882e-01
1.560e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.570e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.580e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.590e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.600e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.610e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.620e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.630e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.002e-01	9.111e-02	2.882e-01
1.640e+04	9.293e-02	4.744e-02	2.209e-01	2.128e-01	1.755e-01	3.418e-01	2.197e-01	9.111e-02	2.965e-01
1.650e+04	9.293e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	2.197e-01	9.111e-02	2.892e-01
1.660e+04	9.293e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	2.197e-01	9.111e-02	2.892e-01
1.670e+04	9.293e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	2.197e-01	9.111e-02	2.882e-01
1.680e+04	9.853e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	1.960e-01	7.819e-02	2.665e-01
1.690e+04	9.853e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	1.960e-01	7.819e-02	2.665e-01
1.700e+04	9.853e-02	4.744e-02	2.209e-01	2.126e-01	1.755e-01	3.322e-01	1.960e-01	7.819e-02	2.665e-01
