n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.460e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.470e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.480e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.490e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.500e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.626e-02	3.966e-03	8.362e-09	2.421e-01
1.510e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.520e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.530e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.540e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.550e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
1.560e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.612e-02	3.966e-03	8.362e-09	2.421e-01
