n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
1.590e+04	3.586e+02	3.335e+02	3.706e+02	2.608e+02	2.450e+02	3.273e+02	1.058e+02	9.580e+01	1.120e+02	1.031e+02	3.047e+01	1.375e+02
1.610e+04	3.538e+02	2.880e+02	3.683e+02	2.605e+02	1.415e+02	3.233e+02	1.160e+02	9.956e+01	1.262e+02	1.340e+02	3.700e+01	1.380e+02
1.630e+04	3.403e+02	2.810e+02	3.566e+02	2.576e+02	1.413e+02	2.998e+02	1.079e+02	8.627e+01	1.129e+02	6.288e+01	2.742e+01	1.357e+02
1.650e+04	3.471e+02	2.898e+02	3.663e+02	2.580e+02	1.463e+02	2.715e+02	1.031e+02	9.541e+01	1.115e+02	1.240e+02	4.309e+01	1.355e+02
1.670e+04	3.431e+02	2.971e+02	3.684e+02	2.608e+02	1.893e+02	3.218e+02	9.800e+01	8.138e+01	1.279e+02	1.151e+02	2.933e+01	1.342e+02
1.690e+04	3.492e+02	3.150e+02	3.623e+02	2.583e+02	2.343e+02	2.710e+02	1.074e+02	1.057e+02	1.121e+02	1.233e+02	3.166e+01	1.380e+02
1.710e+04	3.457e+02	3.303e+02	3.572e+02	2.585e+02	2.196e+02	3.050e+02	8.545e+01	7.747e+01	1.008e+02	1.245e+02	3.672e+01	1.342e+02
1.730e+04	3.387e+02	3.189e+02	3.626e+02	2.733e+02	2.530e+02	3.298e+02	1.009e+02	7.835e+01	1.023e+02	1.335e+02	5.363e+01	1.370e+02
1.750e+04	3.569e+02	3.030e+02	3.723e+02	2.598e+02	2.449e+02	3.231e+02	9.530e+01	8.161e+01	1.188e+02	1.295e+02	7.485e+01	1.354e+02
1.770e+04	3.581e+02	3.165e+02	3.758e+02	2.556e+02	2.373e+02	2.596e+02	1.060e+02	9.264e+01	1.351e+02	1.340e+02	3.169e+01	1.368e+02
