n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
1.400e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	4.186e+01	5.137e-08	1.048e+02
1.410e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	6.349e+01	5.329e-05	1.119e+02
1.420e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	6.349e+01	5.137e-08	1.119e+02
1.430e+04	1.953e+01	1.558e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	6.349e+01	5.329e-05	1.048e+02
1.440e+04	1.953e+01	1.721e+00	2.686e+01	4.792e+02	4.580e+02	5.080e+02	6.349e+01	5.329e-05	1.119e+02
1.450e+04	1.953e+01	1.721e+00	2.686e+01	4.792e+02	4.580e+02	5.067e+02	5.732e+01	5.329e-05	1.048e+02
1.460e+04	1.953e+01	1.721e+00	2.686e+01	4.792e+02	4.580e+02	5.067e+02	5.731e+01	5.329e-05	1.119e+02
1.470e+04	1.953e+01	1.721e+00	2.686e+01	4.792e+02	4.580e+02	5.067e+02	6.349e+01	5.329e-05	1.195e+02
1.480e+04	1.953e+01	1.721e+00	2.686e+01	4.807e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.195e+02
1.490e+04	1.953e+01	1.721e+00	2.686e+01	4.820e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.195e+02
1.500e+04	1.953e+01	1.721e+00	2.686e+01	4.820e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.233e+02
1.510e+04	1.953e+01	1.721e+00	2.686e+01	4.820e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.195e+02
1.520e+04	1.953e+01	1.721e+00	2.686e+01	4.836e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.233e+02
1.530e+04	1.953e+01	1.721e+00	2.686e+01	4.836e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.195e+02
1.540e+04	1.953e+01	1.721e+00	2.686e+01	4.836e+02	4.647e+02	5.080e+02	6.349e+01	5.329e-05	1.233e+02
1.550e+04	1.953e+01	1.721e+00	2.686e+01	4.836e+02	4.647e+02	5.123e+02	6.825e+01	5.329e-05	1.233e+02
1.560e+04	1.953e+01	1.721e+00	2.686e+01	4.836e+02	4.647e+02	5.133e+02	6.893e+01	5.329e-05	1.233e+02
1.570e+04	1.953e+01	1.721e+00	2.686e+01	4.841e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.233e+02
1.580e+04	1.953e+01	1.721e+00	2.686e+01	4.841e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.289e+02
1.590e+04	1.953e+01	1.721e+00	3.062e+01	4.841e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.289e+02
1.600e+04	2.041e+01	1.721e+00	3.417e+01	4.841e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.289e+02
1.610e+04	2.041e+01	1.721e+00	3.417e+01	4.841e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.233e+02
1.620e+04	2.041e+01	1.721e+00	3.417e+01	4.841e+02	4.647e+02	5.123e+02	6.825e+01	5.329e-05	1.233e+02
1.630e+04	2.041e+01	1.721e+00	3.417e+01	4.836e+02	4.647e+02	5.123e+02	6.825e+01	5.329e-05	1.233e+02
1.640e+04	2.041e+01	1.721e+00	3.417e+01	4.836e+02	4.647e+02	5.123e+02	6.825e+01	5.329e-05	1.119e+02
1.650e+04	2.041e+01	1.721e+00	3.417e+01	4.820e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.660e+04	2.041e+01	1.721e+00	3.417e+01	4.807e+02	4.647e+02	5.133e+02	6.893e+01	5.329e-05	1.119e+02
1.670e+04	2.041e+01	1.721e+00	3.417e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.680e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.690e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.700e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.710e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.233e+02
1.720e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.647e+02	5.133e+02	6.825e+01	5.329e-05	1.233e+02
1.730e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.825e+01	5.329e-05	1.119e+02
1.740e+04	2.041e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.825e+01	5.329e-05	1.388e+02
1.750e+04	2.041e+01	1.721e+00	3.467e+01	4.836e+02	4.716e+02	5.133e+02	6.825e+01	5.329e-05	1.388e+02
1.760e+04	2.041e+01	1.721e+00	3.467e+01	4.836e+02	4.716e+02	5.133e+02	6.825e+01	5.329e-05	1.048e+02
1.770e+04	2.169e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.825e+01	5.137e-08	1.048e+02
1.780e+04	2.169e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.893e+01	5.137e-08	1.388e+02
1.790e+04	2.224e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.893e+01	5.137e-08	1.054e+02
1.800e+04	2.316e+01	1.721e+00	3.467e+01	4.807e+02	4.716e+02	5.133e+02	6.893e+01	5.137e-08	1.388e+02
